acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,rnncell,reverse_grad_weight,dropout_rate,diff_weight,sim_weight,recon_weight,lr,gamma,hidden_size
57.99,52.68,53.18,52.55,0.5183,MIntRec2,misa,bert-base-uncased,2.0,misa_MIntRec2_multi-class_seed-2_2024-03-12-06-04-54,lstm,0.1,0.4,0.2,0.3,0.4,1e-05,0.5,
58.04,52.14,53.16,51.74,0.5224,MIntRec2,misa,bert-base-uncased,2.0,misa_MIntRec2_multi-class_seed-2_2024-03-12-06-28-09,lstm,0.1,0.4,0.2,0.3,0.6,8e-06,0.5,
58.14,52.38,53.36,51.95,0.5277,MIntRec2,misa,bert-base-uncased,2.0,misa_MIntRec2_multi-class_seed-2_2024-03-12-06-48-59,lstm,0.1,0.4,0.2,0.3,0.6,1e-05,0.5,
58.19,52.36,53.7,51.79,0.5262,MIntRec2,misa,bert-base-uncased,2.0,misa_MIntRec2_multi-class_seed-2_2024-03-12-07-11-21,lstm,0.1,0.4,0.5,0.4,0.4,8e-06,0.5,
57.21,51.67,52.27,51.35,0.5175,MIntRec2,misa,bert-base-uncased,2.0,misa_MIntRec2_multi-class_seed-2_2024-03-12-07-32-26,lstm,0.1,0.4,0.5,0.4,0.4,1e-05,0.5,
56.91,51.09,51.43,51.04,0.5326,MIntRec2,misa,bert-base-uncased,2.0,misa_MIntRec2_multi-class_seed-2_2024-03-12-07-55-12,lstm,0.1,0.4,0.5,0.4,0.6,8e-06,0.5,
58.68,52.57,54.46,52.04,0.5286,MIntRec2,misa,bert-base-uncased,2.0,misa_MIntRec2_multi-class_seed-2_2024-03-12-08-22-09,lstm,0.1,0.4,0.5,0.4,0.6,1e-05,0.5,
...,,,,,,,,,,,,,,,,,,
56.96,50.76,51.35,50.66,0.5122,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-08-53-11,lstm,0.1,0.4,0.5,0.4,0.6,1e-05,0.5,256.0
...,,,,,,,,,,,,,,,,,,
