acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,beta_shift,dropout_prob,warmup_proportion,lr,aligned_method,weight_decay
56.67,51.62,53.28,51.27,0.5034,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-10-10-17,0.01,0.5,0.1,2e-05,conv1d,0.1
56.12,50.94,51.9,51.14,0.5314,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-10-28-27,0.01,0.5,0.1,2.9999999999999997e-05,ctc,0.03
56.91,50.92,54.44,50.06,0.5142,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-10-42-35,0.01,0.5,0.1,3e-05,ctc,0.01
56.57,51.45,51.96,51.85,0.5117,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-10-55-48,0.01,0.5,0.1,2.9999999999999997e-05,ctc,0.1
57.75,52.58,53.33,53.27,0.5037,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-11-09-22,0.01,0.5,0.1,3e-05,conv1d,0.03
56.81,51.27,54.08,50.67,0.5028,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-11-21-50,0.01,0.5,0.1,2.9999999999999997e-05,conv1d,0.01
57.89,51.89,55.79,50.89,0.496,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-11-33-29,0.01,0.5,0.1,3e-05,conv1d,0.1
56.71,51.42,52.41,51.3,0.5096,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-11-44-03,0.01,0.5,0.1,9e-06,ctc,0.03
57.94,51.16,52.51,51.43,0.4988,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-12-07-08,0.01,0.5,0.1,9e-06,ctc,0.01
57.06,51.76,52.48,52.22,0.5062,MIntRec2,mag_bert,bert-base-uncased,4.0,mag_bert_MIntRec2_multi-class_seed-4_2024-03-16-12-23-32,0.01,0.5,0.1,9e-06,ctc,0.1
