acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,eval_acc,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,dst_feature_dims,nheads,n_levels,attn_dropout,attn_dropout_v,attn_dropout_a,relu_dropout,embed_dropout,res_dropout,output_dropout,text_dropout,conv1d_kernel_size_l,conv1d_kernel_size_v,conv1d_kernel_size_a,lr
58.83,57.39,57.38,50.9,53.99,50.69,51.31,57.57,44.39,94.56,49.07,55.62,0.5931,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,4.0,mult_ma_MIntRec2_multi-class_0_2024-04-26-09-28-13,80.0,8.0,4.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2e-05
59.52,58.26,60.15,51.91,59.21,50.36,51.45,57.72,44.5,94.43,48.82,55.68,0.5841,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,4.0,mult_ma_MIntRec2_multi-class_0_2024-04-26-09-28-13,80.0,4.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2.9999999999999997e-05
59.76,57.98,58.74,51.08,57.59,50.23,51.43,57.61,44.5,94.63,48.75,55.64,0.5913,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,4.0,mult_ma_MIntRec2_multi-class_0_2024-04-26-09-28-13,80.0,4.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2e-05
58.44,57.92,57.83,52.98,54.42,52.28,51.19,57.5,44.45,94.5,49.07,55.63,0.5841,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,4.0,mult_ma_MIntRec2_multi-class_0_2024-04-26-09-28-13,80.0,4.0,4.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2.9999999999999997e-05
58.53,57.45,59.23,52.71,58.56,52.14,51.53,57.73,44.48,94.56,48.5,55.6,0.5805,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,4.0,mult_ma_MIntRec2_multi-class_0_2024-04-26-09-28-13,80.0,4.0,4.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2e-05
...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.99,57.59,57.61,52.15,52.99,51.76,51.58,57.84,44.64,94.43,48.88,55.5,0.5895,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,0.0,mult_ma_MIntRec2_multi-class_0_2024-04-27-02-07-11,80.0,4.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2.9999999999999997e-05
56.91,56.11,56.61,50.83,53.31,50.77,51.62,57.58,44.74,94.31,48.62,55.48,0.575,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,1.0,mult_ma_MIntRec2_multi-class_0_2024-04-27-02-07-11,80.0,4.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,3e-05
58.58,58.0,57.84,53.62,54.52,53.33,51.36,57.58,44.6,94.37,48.94,55.55,0.5805,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,2.0,mult_ma_MIntRec2_multi-class_0_2024-04-27-02-07-11,80.0,4.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2.9999999999999997e-05
59.81,58.23,58.74,52.11,57.21,52.18,51.19,57.32,44.28,94.69,49.26,55.77,0.5741,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,3.0,mult_ma_MIntRec2_multi-class_0_2024-04-27-02-07-11,80.0,4.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,3e-05
59.52,58.26,60.15,51.91,59.21,50.36,51.45,57.72,44.5,94.43,48.82,55.68,0.5841,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,4.0,mult_ma_MIntRec2_multi-class_0_2024-04-27-02-07-11,80.0,4.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2.9999999999999997e-05
..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
