acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,eval_f1,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,lr_main,weight_decay_main,lr_bert,weight_decay_bert,lr_mmilb,weight_decay_mmilb,alpha,dropout_a,dropout_v,dropout_prj,n_layer,cpc_layers,d_vh,d_ah,d_vout,d_aout,d_prjh,scale,beta
58.04,57.41,57.4,51.71,53.02,51.15,50.59,56.72,44.21,94.43,49.52,55.53,0.522,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,1.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-09-03-26,2e-05,0.0002,1e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
57.75,57.17,57.17,51.37,52.51,50.92,50.62,56.74,44.24,94.37,49.65,55.57,0.5219,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,1.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-09-03-26,2e-05,0.0002,1e-05,3e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
57.35,56.97,58.01,52.31,55.96,52.53,50.58,56.77,43.94,94.43,49.26,55.55,0.5269,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,2.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-09-03-26,0.0003,0.0002,2e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
55.04,54.43,55.3,49.78,50.17,51.08,50.53,56.78,43.73,94.95,49.39,55.81,0.5219,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,2.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-09-03-26,0.0003,0.0002,2e-05,3e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
58.14,57.18,57.75,52.85,53.94,53.5,50.52,56.89,43.79,94.75,49.39,55.74,0.5358,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,2.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-09-03-26,0.0003,0.0002,1e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
57.8,56.83,57.44,52.94,54.54,53.29,50.59,56.89,43.83,94.69,49.33,55.67,0.5382,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,2.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-09-03-26,0.0003,0.0002,1e-05,3e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
57.4,57.2,57.72,53.42,54.62,53.35,50.78,56.95,44.31,94.37,49.46,55.51,0.5354,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,2.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-09-03-26,2e-05,0.0002,2e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
56.47,56.23,56.73,52.53,54.05,51.88,50.94,56.98,44.37,94.37,49.2,55.47,0.5264,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,2.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-09-03-26,2e-05,0.0002,2e-05,3e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
59.37,58.55,58.69,54.32,56.6,53.91,51.04,57.02,44.39,94.37,48.88,55.51,0.5329,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,2.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-09-03-26,2e-05,0.0002,1e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
59.62,58.82,58.98,54.98,57.47,54.4,51.05,57.04,44.38,94.56,48.88,55.6,0.5411,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,2.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-09-03-26,2e-05,0.0002,1e-05,3e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
58.09,57.48,58.51,52.69,54.44,53.34,50.39,56.7,43.73,94.95,49.71,55.82,0.5292,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,3.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-09-03-26,0.0003,0.0002,2e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
57.35,56.75,57.29,52.4,54.92,52.16,50.85,56.91,44.23,94.88,49.14,55.77,0.5228,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,3.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-09-03-26,0.0003,0.0002,2e-05,3e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
59.32,58.8,59.62,54.56,55.69,54.92,50.58,56.75,43.66,95.39,49.2,56.11,0.5308,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,3.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-09-03-26,0.0003,0.0002,1e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
57.75,57.26,57.47,52.58,54.38,52.03,50.19,56.59,43.4,95.27,49.9,56.03,0.5329999999999999,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,3.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-09-03-26,0.0003,0.0002,1e-05,3e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
57.85,57.28,57.76,52.11,53.96,52.05,51.05,57.09,44.38,94.56,49.01,55.62,0.519,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,3.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-09-03-26,2e-05,0.0002,2e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
57.35,56.8,57.52,51.93,53.88,52.09,51.05,57.03,44.47,94.43,48.88,55.56,0.52,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,3.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-09-03-26,2e-05,0.0002,2e-05,3e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
57.99,57.48,57.44,52.19,53.22,52.01,50.95,56.95,44.35,94.56,49.2,55.62,0.5139,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,3.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-09-03-26,2e-05,0.0002,1e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
58.44,57.78,57.98,52.58,55.0,51.84,50.88,57.0,44.17,94.56,49.26,55.67,0.5147,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,3.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-09-03-26,2e-05,0.0002,1e-05,3e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
58.68,57.65,58.6,53.98,58.32,52.53,50.59,56.87,43.76,95.14,49.33,56.0,0.5236,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,4.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-09-03-26,0.0003,0.0002,2e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
58.93,57.89,59.15,54.3,59.48,52.89,50.68,56.93,43.85,95.2,49.2,55.96,0.5177,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,4.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-09-03-26,0.0003,0.0002,2e-05,3e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
57.3,56.76,57.07,52.96,53.45,53.61,50.58,56.81,43.7,95.01,49.58,55.84,0.5334,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,4.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-09-03-26,0.0003,0.0002,1e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
