acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,eval_acc,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,beta_shift,dropout_prob,warmup_proportion,lr,weight_decay,scale,aligned_method
57.8,56.69,56.88,50.16,52.94,50.3,50.69,56.91,43.91,95.2,49.39,55.98,0.5886,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,1.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.003,0.1,0.1,3e-05,0.01,,ctc
58.53,56.93,56.99,50.26,54.05,50.28,50.97,57.01,44.2,95.01,48.88,55.85,0.5787,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,1.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.003,0.1,0.1,1e-05,0.01,,ctc
57.75,56.49,56.25,50.69,51.46,51.33,50.84,56.98,44.1,94.82,49.33,55.78,0.5823,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,1.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.003,0.1,0.1,2e-05,0.01,,ctc
58.58,56.75,58.07,50.24,54.59,51.15,50.87,57.02,44.41,94.56,49.26,55.66,0.5904,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,2.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.006,0.3,0.1,2.9999999999999997e-05,0.01,,ctc
57.5,55.0,53.91,47.36,47.35,48.81,50.71,56.88,44.05,94.75,49.26,55.73,0.5778,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,2.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.006,0.3,0.1,1e-05,0.01,,ctc
59.12,56.68,55.53,48.7,49.21,49.49,51.02,57.1,44.33,94.5,49.26,55.58,0.5796,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,2.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.006,0.3,0.1,2e-05,0.01,,ctc
58.48,57.49,58.29,52.26,55.91,51.92,50.86,57.09,44.27,94.82,49.39,55.97,0.5823,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,2.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.006,0.1,0.1,3e-05,0.01,,ctc
57.5,55.32,54.15,47.86,47.66,49.18,50.75,56.89,44.02,94.82,49.39,56.02,0.575,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,2.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.006,0.1,0.1,1e-05,0.01,,ctc
58.19,56.48,56.4,49.63,52.69,50.15,51.02,57.23,44.3,94.75,48.94,55.8,0.5796,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,2.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.006,0.1,0.1,2e-05,0.01,,ctc
58.53,56.75,57.95,50.36,54.36,51.57,50.88,57.0,44.4,94.5,49.2,55.56,0.5832,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,2.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.003,0.3,0.1,2.9999999999999997e-05,0.01,,ctc
