acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,eval_acc,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,lr,weight_decay,warmup_proportion,hidden_dims,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,intermediate_size,num_hidden_layers,max_position_embeddings,aligned_method,multiple_ood,select_number_min,select_number_max,mlp_hidden_size,mlp_dropout,alpha,scale
63.84,61.11,62.75,53.25,63.16,52.86,74.82,87.33,54.08,70.41,30.73,54.16,0.6126,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,3e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,6.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
65.6,63.53,64.23,54.03,62.5,51.14,72.09,85.93,51.52,70.89,32.85,54.58,0.6158,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,2.9999999999999997e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0
64.32,62.63,63.09,54.97,60.35,53.06,70.25,84.76,48.84,73.98,34.31,56.94,0.6201,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,3e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0
64.11,61.58,62.31,52.74,60.24,50.2,72.31,86.04,51.08,72.03,32.03,55.43,0.6169,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,2.9999999999999997e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,8.0
63.89,61.53,62.56,51.64,56.01,50.55,72.06,85.83,49.77,74.15,32.85,57.06,0.619,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,3e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
65.01,63.79,63.94,55.87,60.58,54.3,68.31,84.14,44.63,77.89,36.59,59.86,0.603,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,2.9999999999999997e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,3.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0
62.77,60.9,62.78,54.22,59.1,52.53,58.61,79.23,36.79,83.74,45.04,64.28,0.6051,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,3e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,3.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0
62.72,61.28,61.73,54.64,58.88,52.51,62.12,81.66,38.7,83.58,41.95,64.16,0.6094,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,2.9999999999999997e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,3.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,8.0
61.33,60.61,62.7,53.26,57.96,52.78,73.26,86.3,52.0,70.89,31.71,54.61,0.6051,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,3e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,3.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
65.07,63.41,63.06,52.86,53.27,54.4,71.41,85.84,49.87,72.36,34.47,55.71,0.6105,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,2.9999999999999997e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,6.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0
63.47,61.35,63.46,53.13,61.92,54.94,71.92,86.2,49.71,73.5,32.68,56.56,0.6062,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,3e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,6.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0
...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.89,60.89,62.16,52.14,60.8,51.06,73.68,86.46,51.92,72.52,32.03,55.75,0.6243,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-24-06-10-01,8e-06,0.1,0.1,768.0,4.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,8.0
63.73,60.96,61.94,51.04,53.88,52.13,72.9,86.12,50.69,73.98,31.87,56.91,0.6222,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,2.0,msz_ma_MELD-DA_multi-class_0_2024-04-24-06-10-01,8e-06,0.1,0.1,768.0,4.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,8.0
