acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,lr,weight_decay,warmup_proportion,hidden_dims,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,intermediate_size,num_hidden_layers,max_position_embeddings,aligned_method,multiple_ood,select_number_min,select_number_max,mlp_hidden_size,mlp_dropout,alpha,scale,eval_acc,sampler
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.98,57.86,60.2,53.02,57.85,53.47,51.44,57.38,44.82,94.24,49.14,55.62,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MIntRec2_multi-class_0_2024-04-17-07-21-56,2e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5841,
56.71,56.16,57.13,50.8,52.32,51.71,51.39,57.37,44.75,94.24,48.69,55.67,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,2.0,msz_ma_MIntRec2_multi-class_0_2024-04-17-07-21-56,2e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5769,
..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.34,0.22,0.11,0.22,0.11,3.33,51.27,57.55,44.56,94.5,49.14,55.68,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MIntRec2_multi-class_0_2024-04-17-08-29-57,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,4.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0,0.5931,
60.35,59.52,60.27,53.8,56.49,54.05,51.86,57.74,45.06,94.5,48.43,55.68,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MIntRec2_multi-class_0_2024-04-17-08-29-57,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,4.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5976,
57.94,56.98,57.63,51.22,54.89,50.71,51.79,57.93,44.81,94.56,48.69,55.6,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MIntRec2_multi-class_0_2024-04-17-08-29-57,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,4.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,2.0,8.0,0.6004,
58.44,57.75,58.45,52.78,56.27,51.9,51.78,57.77,44.98,94.37,48.56,55.52,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MIntRec2_multi-class_0_2024-04-17-08-29-57,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,4.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,2.0,16.0,0.5995,
58.19,57.09,57.94,51.17,52.88,51.95,50.84,56.98,44.32,94.5,49.52,55.7,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MIntRec2_multi-class_0_2024-04-17-08-29-57,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,4.0,768.0,conv1d,1.0,2.0,3.0,256.0,0.3,3.0,8.0,0.5976,
57.55,56.7,57.96,51.34,52.58,52.31,50.98,57.08,44.48,94.5,49.46,55.58,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MIntRec2_multi-class_0_2024-04-17-08-29-57,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,4.0,768.0,conv1d,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5877,
