acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,lr,weight_decay,warmup_proportion,hidden_dims,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,intermediate_size,num_hidden_layers,max_position_embeddings,aligned_method,multiple_ood,select_number_min,select_number_max,alpha,mlp_hidden_size,mlp_dropout,scale,sampler,eval_acc
59.62,58.97,59.48,53.5,55.44,53.37,64.45,75.83,50.05,87.89,40.1,57.14,MIntRec2,MIntRec2-OOD,msz,msp,bert-base-uncased,3.0,msz_msp_MIntRec2_multi-class_0_2024-05-18-02-42-37,1e-05,0.1,0.01,768.0,6.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,2.0,2.0,256.0,0.3,8.0,,
60.06,59.35,59.6,54.86,57.47,54.21,64.17,75.72,49.03,88.14,40.69,57.32,MIntRec2,MIntRec2-OOD,msz,msp,bert-base-uncased,4.0,msz_msp_MIntRec2_multi-class_0_2024-05-18-02-42-37,1e-05,0.1,0.01,768.0,6.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,2.0,2.0,256.0,0.3,8.0,,
...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.26,59.07,60.03,53.05,55.82,53.89,71.95,80.22,57.07,83.04,33.75,54.11,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-05-19-12-51-34,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,3.0,2.0,256.0,0.3,8.0,dir,
60.06,58.69,59.91,52.83,59.21,52.67,72.9,80.58,59.11,82.46,32.92,53.74,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MIntRec2_multi-class_0_2024-05-19-12-51-34,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,3.0,2.0,256.0,0.3,8.0,dir,
59.08,58.02,58.75,52.18,55.47,51.92,71.77,79.97,57.9,82.37,33.92,53.67,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,2.0,msz_ma_MIntRec2_multi-class_0_2024-05-19-12-51-34,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,3.0,2.0,256.0,0.3,8.0,dir,
59.17,57.91,59.08,52.46,55.19,52.84,70.81,79.77,56.84,82.62,35.42,53.79,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,3.0,msz_ma_MIntRec2_multi-class_0_2024-05-19-12-51-34,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,3.0,2.0,256.0,0.3,8.0,dir,
59.62,58.65,58.81,53.09,54.78,53.83,71.75,80.04,57.79,82.12,33.92,53.53,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,4.0,msz_ma_MIntRec2_multi-class_0_2024-05-19-12-51-34,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,3.0,2.0,256.0,0.3,8.0,dir,
60.26,59.07,60.03,53.05,55.82,53.89,71.26,80.39,56.06,82.96,34.42,54.04,MIntRec2,MIntRec2-OOD,msz,residual,bert-base-uncased,0.0,msz_residual_MIntRec2_multi-class_0_2024-05-19-12-56-30,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,3.0,2.0,256.0,0.3,8.0,dir,
60.06,58.69,59.91,52.83,59.21,52.67,72.97,81.13,59.13,83.96,32.66,54.67,MIntRec2,MIntRec2-OOD,msz,residual,bert-base-uncased,1.0,msz_residual_MIntRec2_multi-class_0_2024-05-19-12-56-30,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,3.0,2.0,256.0,0.3,8.0,dir,
59.08,58.02,58.75,52.18,55.47,51.92,71.35,80.49,56.99,83.79,33.92,54.56,MIntRec2,MIntRec2-OOD,msz,residual,bert-base-uncased,2.0,msz_residual_MIntRec2_multi-class_0_2024-05-19-12-56-30,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,3.0,2.0,256.0,0.3,8.0,dir,
59.17,57.91,59.08,52.46,55.19,52.84,70.23,80.13,55.21,84.21,35.67,54.84,MIntRec2,MIntRec2-OOD,msz,residual,bert-base-uncased,3.0,msz_residual_MIntRec2_multi-class_0_2024-05-19-12-56-30,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,3.0,2.0,256.0,0.3,8.0,dir,
59.62,58.65,58.81,53.09,54.78,53.83,70.8,79.9,56.89,83.54,34.42,54.42,MIntRec2,MIntRec2-OOD,msz,residual,bert-base-uncased,4.0,msz_residual_MIntRec2_multi-class_0_2024-05-19-12-56-30,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,3.0,2.0,256.0,0.3,8.0,dir,
60.26,59.07,60.03,53.05,55.82,53.89,72.18,80.11,57.84,82.37,33.0,53.67,MIntRec2,MIntRec2-OOD,msz,vim,bert-base-uncased,0.0,msz_vim_MIntRec2_multi-class_0_2024-05-19-13-01-20,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,3.0,2.0,256.0,0.3,8.0,dir,
60.06,58.69,59.91,52.83,59.21,52.67,73.6,81.2,60.2,82.62,31.91,53.85,MIntRec2,MIntRec2-OOD,msz,vim,bert-base-uncased,1.0,msz_vim_MIntRec2_multi-class_0_2024-05-19-13-01-20,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,3.0,2.0,256.0,0.3,8.0,dir,
59.08,58.02,58.75,52.18,55.47,51.92,72.35,80.69,58.3,83.46,33.42,54.37,MIntRec2,MIntRec2-OOD,msz,vim,bert-base-uncased,2.0,msz_vim_MIntRec2_multi-class_0_2024-05-19-13-01-20,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,3.0,2.0,256.0,0.3,8.0,dir,
59.17,57.91,59.08,52.46,55.19,52.84,72.49,81.53,57.92,82.04,33.42,53.42,MIntRec2,MIntRec2-OOD,msz,vim,bert-base-uncased,3.0,msz_vim_MIntRec2_multi-class_0_2024-05-19-13-01-20,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,3.0,2.0,256.0,0.3,8.0,dir,
59.62,58.65,58.81,53.09,54.78,53.83,71.59,79.98,57.94,83.54,34.5,54.42,MIntRec2,MIntRec2-OOD,msz,vim,bert-base-uncased,4.0,msz_vim_MIntRec2_multi-class_0_2024-05-19-13-01-20,1e-05,0.1,0.01,768.0,4.0,0.3,0.3,768.0,6.0,768.0,ctc,1.0,2.0,3.0,2.0,256.0,0.3,8.0,dir,
