acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,eval_acc,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,lr,weight_decay,warmup_proportion,hidden_dims,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,intermediate_size,num_hidden_layers,max_position_embeddings,aligned_method,multiple_ood,select_number_min,select_number_max,alpha,mlp_hidden_size,mlp_dropout,scale,ablation,sampler
58.29,57.06,57.46,51.46,54.96,51.26,72.51,80.91,57.32,83.38,32.92,54.32,,MIntRec2,MIntRec2-OOD,msz,vim,bert-base-uncased,2,msz_vim_MIntRec2_multi-class_0_2024-05-20-02-03-35,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_cat,dir
57.85,57.3,57.38,51.62,52.75,51.67,70.91,79.53,56.16,84.54,33.92,55.05,,MIntRec2,MIntRec2-OOD,msz,vim,bert-base-uncased,3,msz_vim_MIntRec2_multi-class_0_2024-05-20-02-03-12,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_add,dir
58.29,57.26,58.61,51.8,55.03,52.76,71.65,80.44,57.45,82.96,34.0,54.04,,MIntRec2,MIntRec2-OOD,msz,vim,bert-base-uncased,3,msz_vim_MIntRec2_multi-class_0_2024-05-20-02-03-35,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_cat,dir
58.58,58.0,58.25,53.32,55.07,53.4,71.82,80.59,57.39,84.46,34.09,55.0,,MIntRec2,MIntRec2-OOD,msz,vim,bert-base-uncased,1,msz_vim_MIntRec2_multi-class_0_2024-05-20-02-04-47,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_binary,dir
58.78,58.04,58.24,53.06,54.38,53.19,71.36,80.18,57.21,82.46,34.75,53.74,,MIntRec2,MIntRec2-OOD,msz,vim,bert-base-uncased,4,msz_vim_MIntRec2_multi-class_0_2024-05-20-02-03-12,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_add,dir
57.75,57.31,57.61,52.69,53.49,53.29,71.18,79.94,56.21,84.54,34.34,55.04,,MIntRec2,MIntRec2-OOD,msz,vim,bert-base-uncased,4,msz_vim_MIntRec2_multi-class_0_2024-05-20-02-03-35,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_cat,dir
57.94,56.0,57.05,48.16,55.41,47.89,72.7,80.18,60.75,77.78,32.66,50.74,,MIntRec2,MIntRec2-OOD,msz,vim,bert-base-uncased,0,msz_vim_MIntRec2_multi-class_0_2024-05-20-02-05-43,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_CosClass,dir
59.52,57.72,58.4,51.0,55.01,51.62,73.25,81.54,59.49,80.79,32.33,52.67,,MIntRec2,MIntRec2-OOD,msz,vim,bert-base-uncased,2,msz_vim_MIntRec2_multi-class_0_2024-05-20-02-04-47,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_binary,dir
58.58,57.1,56.63,49.71,51.62,49.87,67.93,77.85,53.1,85.96,36.51,55.95,,MIntRec2,MIntRec2-OOD,msz,energy,bert-base-uncased,0,msz_energy_MIntRec2_multi-class_0_2024-05-20-02-07-40,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_add,dir
58.34,57.55,57.6,52.64,53.52,53.05,67.78,76.85,54.69,85.88,36.59,55.84,,MIntRec2,MIntRec2-OOD,msz,energy,bert-base-uncased,0,msz_energy_MIntRec2_multi-class_0_2024-05-20-02-07-54,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_cat,dir
55.24,53.07,57.09,44.82,52.15,44.49,69.36,79.21,55.41,84.21,36.09,54.84,,MIntRec2,MIntRec2-OOD,msz,vim,bert-base-uncased,1,msz_vim_MIntRec2_multi-class_0_2024-05-20-02-05-43,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_CosClass,dir
59.12,57.85,57.34,52.01,53.14,52.04,68.37,77.58,55.26,83.46,36.26,54.37,,MIntRec2,MIntRec2-OOD,msz,energy,bert-base-uncased,1,msz_energy_MIntRec2_multi-class_0_2024-05-20-02-07-54,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_cat,dir
58.29,57.93,58.26,53.2,53.89,53.6,69.4,78.26,54.62,85.13,35.76,55.4,,MIntRec2,MIntRec2-OOD,msz,energy,bert-base-uncased,1,msz_energy_MIntRec2_multi-class_0_2024-05-20-02-07-40,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_add,dir
58.29,57.67,58.11,52.47,54.46,52.6,71.26,80.25,57.73,82.87,34.84,54.0,,MIntRec2,MIntRec2-OOD,msz,vim,bert-base-uncased,3,msz_vim_MIntRec2_multi-class_0_2024-05-20-02-04-47,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_binary,dir
58.29,57.06,57.46,51.46,54.96,51.26,69.05,78.17,55.09,84.8,36.01,55.21,,MIntRec2,MIntRec2-OOD,msz,energy,bert-base-uncased,2,msz_energy_MIntRec2_multi-class_0_2024-05-20-02-07-54,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_cat,dir
58.44,57.26,57.72,51.55,54.61,52.59,67.9,76.54,54.82,83.63,35.84,54.48,,MIntRec2,MIntRec2-OOD,msz,energy,bert-base-uncased,2,msz_energy_MIntRec2_multi-class_0_2024-05-20-02-07-40,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_add,dir
58.29,57.26,58.61,51.8,55.03,52.76,68.45,77.62,55.44,85.21,36.34,55.46,,MIntRec2,MIntRec2-OOD,msz,energy,bert-base-uncased,3,msz_energy_MIntRec2_multi-class_0_2024-05-20-02-07-54,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_cat,dir
39.3,33.29,35.78,24.45,26.73,28.65,59.94,71.12,46.09,90.39,42.77,58.74,,MIntRec2,MIntRec2-OOD,msz,vim,bert-base-uncased,2,msz_vim_MIntRec2_multi-class_0_2024-05-20-02-05-43,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_CosClass,dir
57.85,57.3,57.38,51.62,52.75,51.67,66.5,75.15,52.33,88.05,37.59,57.26,,MIntRec2,MIntRec2-OOD,msz,energy,bert-base-uncased,3,msz_energy_MIntRec2_multi-class_0_2024-05-20-02-07-40,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_add,dir
57.75,57.31,57.61,52.69,53.49,53.29,67.65,76.25,53.88,85.88,36.09,55.89,,MIntRec2,MIntRec2-OOD,msz,energy,bert-base-uncased,4,msz_energy_MIntRec2_multi-class_0_2024-05-20-02-07-54,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_cat,dir
58.78,58.04,58.24,53.06,54.38,53.19,68.01,77.57,54.16,86.22,36.26,56.11,,MIntRec2,MIntRec2-OOD,msz,energy,bert-base-uncased,4,msz_energy_MIntRec2_multi-class_0_2024-05-20-02-07-40,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_add,dir
59.76,57.89,58.53,51.69,55.24,51.75,72.91,81.18,59.75,81.37,33.0,53.06,,MIntRec2,MIntRec2-OOD,msz,vim,bert-base-uncased,4,msz_vim_MIntRec2_multi-class_0_2024-05-20-02-04-47,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_binary,dir
56.71,55.8,57.66,49.93,51.98,50.82,65.75,76.08,52.58,84.04,39.26,54.74,,MIntRec2,MIntRec2-OOD,msz,vim,bert-base-uncased,3,msz_vim_MIntRec2_multi-class_0_2024-05-20-02-05-43,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_CosClass,dir
58.34,57.55,57.6,52.64,53.52,53.05,66.83,76.36,53.22,83.71,37.59,54.47,,MIntRec2,MIntRec2-OOD,msz,maxlogit,bert-base-uncased,0,msz_maxlogit_MIntRec2_multi-class_0_2024-05-20-02-10-17,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_cat,dir
58.58,57.1,56.63,49.71,51.62,49.87,66.91,77.29,51.8,86.88,37.59,56.51,,MIntRec2,MIntRec2-OOD,msz,maxlogit,bert-base-uncased,0,msz_maxlogit_MIntRec2_multi-class_0_2024-05-20-02-10-34,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_add,dir
59.12,57.85,57.34,52.01,53.14,52.04,66.92,76.85,53.64,84.46,37.68,55.0,,MIntRec2,MIntRec2-OOD,msz,maxlogit,bert-base-uncased,1,msz_maxlogit_MIntRec2_multi-class_0_2024-05-20-02-10-17,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_cat,dir
