acc,f1,prec,rec,eval_acc,dataset,method,text_backbone,seed,logger_name,eval_f1,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,num_hidden_layers,dropout,aligned_method,lr,hidden_size,hidden_dims,intermediate_size,max_position_embeddings,d_num_attention_heads,d_attention_probs_dropout_prob,d_hidden_dropout_prob,d_num_hidden_layers,d_max_position_embeddings,m_num_attention_heads,m_attention_probs_dropout_prob,m_hidden_dropout_prob,m_num_hidden_layers,m_max_position_embeddings,patience,factor
fusion_feats = torch.cat((t_a_att , t_v_att , t_att), dim=1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.19,60.59,63.69,61.17,,MIntRec,msz,bert-base-uncased,2.0,msz_MIntRec_multi-class_seed-2_2024-01-06-05-39-12,0.6738,,,,,,,,,,,,,,,,,,,,,,,
65.84,64.12,64.19,66.06,,MIntRec,msz,bert-base-uncased,3.0,msz_MIntRec_multi-class_seed-3_2024-01-06-05-46-41,0.6699,,,,,,,,,,,,,,,,,,,,,,,
65.39,61.67,63.35,63.0,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-06-06-03-22,0.6519,,,,,,,,,,,,,,,,,,,,,,,
67.87,66.28,68.47,66.75,,MIntRec,msz,bert-base-uncased,2.0,msz_MIntRec_multi-class_seed-2_2024-01-06-06-11-13,0.679,,,,,,,,,,,,,,,,,,,,,,,
66.07,63.72,64.38,66.28,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-06-06-54-25,0.6561,,,,,,,,,,,,,,,,,,,,,,,
65.62,63.59,65.62,65.32,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-06-07-06-13,0.6559999999999999,,,,,,,,,,,,,,,,,,,,,,,
63.82,60.46,61.36,62.41,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-06-07-29-29,0.6597,,,,,,,,,,,,,,,,,,,,,,,
65.17,62.75,64.88,63.04,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-06-08-00-34,0.6323,,,,,,,,,,,,,,,,,,,,,,,
65.39,63.5,64.41,65.98,,MIntRec,msz,bert-base-uncased,2.0,msz_MIntRec_multi-class_seed-2_2024-01-06-08-12-45,0.6383,,,,,,,,,,,,,,,,,,,,,,,
15.73,4.63,3.35,8.6,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-06-08-43-38,0.0512,,,,,,,,,,,,,,,,,,,,,,,
