acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,hidden_dims,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,intermediate_size,num_hidden_layers,max_position_embeddings,dropout,aligned_method,lr,patience,factor
60.98,51.32,53.31,50.67,0.4886,MELD-DA,msz,bert-base-uncased,5.0,msz_MELD-DA_multi-class_seed-5,768.0,4.0,0.2,0.2,768.0,2.0,1024.0,0.2,conv1d,6e-06,8.0,0.1
..,,,,,,,,,,,,,,,,,,,,,
59.31,48.25,51.84,47.23,0.4931,MELD-DA,msz,bert-base-uncased,3.0,msz_MELD-DA_multi-class_seed-3,768.0,6.0,0.2,0.2,768.0,3.0,1024.0,0.2,ctc,6e-06,8.0,0.1
59.31,50.59,51.77,50.58,0.5016,MELD-DA,msz,bert-base-uncased,4.0,msz_MELD-DA_multi-class_seed-4,768.0,6.0,0.2,0.2,768.0,3.0,1024.0,0.2,ctc,6e-06,8.0,0.1
60.82,51.13,53.12,50.6,0.4913,MELD-DA,msz,bert-base-uncased,5.0,msz_MELD-DA_multi-class_seed-5,768.0,6.0,0.2,0.2,768.0,2.0,1024.0,0.2,conv1d,6e-06,8.0,0.1
59.73,50.6,51.96,50.07,0.5111,MELD-DA,msz,bert-base-uncased,5.0,msz_MELD-DA_multi-class_seed-5,768.0,6.0,0.2,0.2,768.0,2.0,768.0,0.2,conv1d,6e-06,8.0,0.1
..,,,,,,,,,,,,,,,,,,,,,
57.96,50.3,49.99,51.68,0.4983,MELD-DA,msz,bert-base-uncased,3.0,msz_MELD-DA_multi-class_seed-3,768.0,6.0,0.2,0.2,768.0,2.0,1024.0,0.2,conv1d,6e-06,8.0,0.1
58.84,49.96,51.52,49.19,0.51,MELD-DA,msz,bert-base-uncased,3.0,msz_MELD-DA_multi-class_seed-3,768.0,6.0,0.2,0.2,768.0,2.0,768.0,0.2,conv1d,6e-06,8.0,0.1
..,,,,,,,,,,,,,,,,,,,,,
58.69,50.6,51.97,50.42,0.4984,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.2,0.2,768.0,2.0,768.0,0.2,conv1d,6e-06,8.0,0.1
..,,,,,,,,,,,,,,,,,,,,,
55.71,48.71,51.29,48.12,0.4877,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.2,0.2,768.0,4.0,768.0,0.2,conv1d,6e-06,8.0,0.1
60.2,49.51,52.71,48.82,0.4931,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.2,0.2,768.0,1.0,768.0,0.2,conv1d,6e-06,8.0,0.1
58.69,50.6,51.97,50.42,0.4984,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.2,0.2,768.0,2.0,768.0,0.2,conv1d,6e-06,8.0,0.1
59.78,50.82,53.07,50.29,0.5045,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.2,0.2,768.0,3.0,768.0,0.2,conv1d,6e-06,8.0,0.1
60.35,52.0,56.29,49.79,0.502,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.2,0.3,768.0,1.0,768.0,0.2,conv1d,6e-06,8.0,0.1
58.37,50.07,51.56,49.8,0.4992,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,6.0,0.2,0.3,768.0,2.0,768.0,0.2,conv1d,6e-06,8.0,0.1
56.81,50.13,51.09,49.95,0.5167,MELD-DA,msz,bert-base-uncased,5.0,msz_MELD-DA_multi-class_seed-5,768.0,6.0,0.2,0.2,768.0,1.0,768.0,0.2,conv1d,6e-06,8.0,0.1
