F1-known,F1-open,F1,Acc,dataset,method,backbone,known_cls_ratio,labeled_ratio,loss,seed,train_epochs,created_time,lr,safe1,safe2,neg_weight,margin,supcon_loss_weight,triplet_loss_weight
75.1041,86.4807,77.0002,80.93,stackoverflow,ADB,bert,0.25,1.0,CrossEntropyLoss,4.0,100.0,2024-10-05-21-32-06,2e-05,0.7,0.9,0.1,0.4,0.3,0.2
81.8765,93.1578,83.7567,89.77,stackoverflow,ADB,bert,0.25,1.0,CrossEntropyLoss,5.0,100.0,2024-10-05-21-36-59,2e-05,0.7,0.9,0.1,0.4,0.3,0.2
85.1578,87.7689,85.3952,86.5,stackoverflow,ADB,bert,0.5,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-21-46-57,2e-05,0.7,0.9,0.1,0.4,0.3,0.2
84.3572,87.9039,84.6796,86.12,stackoverflow,ADB,bert,0.5,1.0,CrossEntropyLoss,2.0,100.0,2024-10-05-21-55-56,2e-05,0.7,0.9,0.1,0.4,0.3,0.2
85.1065,87.4632,85.3207,86.22,stackoverflow,ADB,bert,0.5,1.0,CrossEntropyLoss,3.0,100.0,2024-10-05-22-04-36,2e-05,0.7,0.9,0.1,0.4,0.3,0.2
84.9733,88.1001,85.2576,86.58,stackoverflow,ADB,bert,0.5,1.0,CrossEntropyLoss,4.0,100.0,2024-10-05-22-16-18,2e-05,0.7,0.9,0.1,0.4,0.3,0.2
86.2146,88.2473,86.3994,87.2,stackoverflow,ADB,bert,0.5,1.0,CrossEntropyLoss,5.0,100.0,2024-10-05-22-27-58,2e-05,0.7,0.9,0.1,0.4,0.3,0.2
86.7646,72.7368,85.8879,82.33,stackoverflow,ADB,bert,0.75,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-22-44-41,2e-05,0.7,0.9,0.1,0.4,0.3,0.2
86.1001,75.0323,85.4084,82.57,stackoverflow,ADB,bert,0.75,1.0,CrossEntropyLoss,2.0,100.0,2024-10-05-22-56-45,2e-05,0.7,0.9,0.1,0.4,0.3,0.2
86.9015,72.7998,86.0201,82.47,stackoverflow,ADB,bert,0.75,1.0,CrossEntropyLoss,3.0,100.0,2024-10-05-23-11-17,2e-05,0.7,0.9,0.1,0.4,0.3,0.2
87.1408,75.643,86.4222,83.57,stackoverflow,ADB,bert,0.75,1.0,CrossEntropyLoss,4.0,100.0,2024-10-05-23-28-11,2e-05,0.7,0.9,0.1,0.4,0.3,0.2
87.6091,73.2791,86.7134,83.17,stackoverflow,ADB,bert,0.75,1.0,CrossEntropyLoss,5.0,100.0,2024-10-05-23-40-20,2e-05,0.7,0.9,0.1,0.4,0.3,0.2
...,,,,,,,,,,,,,,,,,,,
76.0266,86.6254,76.5565,81.59,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-06-00-15-44,2e-05,0.8,0.7,0.5,0.5,0.8,0.7
19.3748,75.1404,22.1631,62.73,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,1.0,2024-10-06-01-16-52,2e-05,0.8,0.7,0.5,0.5,0.8,0.7
..,,,,,,,,,,,,,,,,,,,
78.785,90.2932,79.3604,86.01,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-06-01-39-14,2e-05,0.8,0.7,0.5,0.5,0.8,0.7
