F1-known,F1-open,F1,Acc,dataset,method,backbone,known_cls_ratio,labeled_ratio,loss,seed,train_epochs,created_time,lr,safe1,safe2,alpha,alpha_loss,margin,p,loss_weight,supcon_loss_weight,triplet_loss_weight
74.6216,85.1485,75.1479,79.81,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-06-28-42,2e-05,0.6,0.6,0.0,0.5,0.5,2.0,1.0,0.5,0.6
74.7681,86.145,75.3369,80.94,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-06-34-35,2e-05,0.6,0.6,0.0,0.5,0.5,2.0,1.0,0.5,0.7
74.7832,85.7074,75.3294,80.45,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-06-40-34,2e-05,0.6,0.6,0.0,0.5,0.5,2.0,1.0,0.6,0.3
75.2984,85.56299999999997,75.8117,80.29,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-06-48-07,2e-05,0.6,0.6,0.0,0.5,0.5,2.0,1.0,0.6,0.4
75.7681,86.2942,76.2944,81.2,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-06-54-43,2e-05,0.6,0.6,0.0,0.5,0.5,2.0,1.0,0.6,0.5
75.661,86.1855,76.1872,81.04,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-07-01-52,2e-05,0.6,0.6,0.0,0.5,0.5,2.0,1.0,0.6,0.6
75.1868,86.6033,75.7576,81.43,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-07-07-10,2e-05,0.6,0.6,0.0,0.5,0.5,2.0,1.0,0.6,0.7
73.9005,85.4187,74.4764,80.1,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-07-12-30,2e-05,0.6,0.6,0.0,0.5,0.5,2.0,1.0,0.7,0.3
74.1312,85.1977,74.6845,79.87,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-07-24-05,2e-05,0.6,0.6,0.0,0.5,0.5,2.0,1.0,0.7,0.4
74.3284,85.7967,74.9018,80.52,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-07-32-47,2e-05,0.6,0.6,0.0,0.5,0.5,2.0,1.0,0.7,0.5
74.6732,86.12299999999998,75.2457,80.91,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-07-39-01,2e-05,0.6,0.6,0.0,0.5,0.5,2.0,1.0,0.7,0.6
74.4731,85.2941,75.0141,79.9,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-07-45-12,2e-05,0.6,0.6,0.0,0.5,0.5,2.0,1.0,0.7,0.7
68.7776,82.5769,69.4676,76.75,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-07-52-05,2e-05,0.6,0.6,0.0,0.5,0.3,2.0,1.0,0.3,0.3
68.4501,82.7653,69.1659,76.88,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-07-57-26,2e-05,0.6,0.6,0.0,0.5,0.3,2.0,1.0,0.3,0.4
69.4182,83.8026,70.1374,78.02,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-08-04-12,2e-05,0.6,0.6,0.0,0.5,0.3,2.0,1.0,0.3,0.5
70.8917,85.2809,71.6112,79.77,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-08-09-47,2e-05,0.6,0.6,0.0,0.5,0.3,2.0,1.0,0.3,0.6
70.1341,84.4274,70.8488,78.8,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-08-15-45,2e-05,0.6,0.6,0.0,0.5,0.3,2.0,1.0,0.3,0.7
69.12899999999999,83.2,69.8326,77.4,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-08-22-15,2e-05,0.6,0.6,0.0,0.5,0.3,2.0,1.0,0.4,0.3
69.1883,83.0904,69.8834,77.31,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-08-29-34,2e-05,0.6,0.6,0.0,0.5,0.3,2.0,1.0,0.4,0.4
70.0389,84.4646,70.7602,78.8,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-08-34-46,2e-05,0.6,0.6,0.0,0.5,0.3,2.0,1.0,0.4,0.5
70.3588,84.2713,71.0544,78.67,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-08-42-15,2e-05,0.6,0.6,0.0,0.5,0.3,2.0,1.0,0.4,0.6
69.1502,83.4619,69.8658,77.66,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-08-47-19,2e-05,0.6,0.6,0.0,0.5,0.3,2.0,1.0,0.4,0.7
69.3674,83.2039,70.0592,77.5,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-08-54-25,2e-05,0.6,0.6,0.0,0.5,0.3,2.0,1.0,0.5,0.3
69.2242,83.3172,69.9289,77.56,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-09-02-18,2e-05,0.6,0.6,0.0,0.5,0.3,2.0,1.0,0.5,0.4
68.7221,82.6712,69.4195,76.85,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-09-12-59,2e-05,0.6,0.6,0.0,0.5,0.3,2.0,1.0,0.5,0.5
70.1169,83.8912,70.8056,78.21,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-09-19-39,2e-05,0.6,0.6,0.0,0.5,0.3,2.0,1.0,0.5,0.6
70.02199999999999,83.9191,70.7168,78.25,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-09-25-37,2e-05,0.6,0.6,0.0,0.5,0.3,2.0,1.0,0.5,0.7
69.043,83.1352,69.7476,77.31,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-09-32-21,2e-05,0.6,0.6,0.0,0.5,0.3,2.0,1.0,0.6,0.3
69.5474,84.001,70.2701,78.25,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-09-37-26,2e-05,0.6,0.6,0.0,0.5,0.3,2.0,1.0,0.6,0.4
68.6054,82.6277,69.3065,76.79,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-09-45-38,2e-05,0.6,0.6,0.0,0.5,0.3,2.0,1.0,0.6,0.5
69.3469,83.7948,70.0693,78.02,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-09-52-04,2e-05,0.6,0.6,0.0,0.5,0.3,2.0,1.0,0.6,0.6
70.3194,84.4625,71.0265,78.86,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-09-58-27,2e-05,0.6,0.6,0.0,0.5,0.3,2.0,1.0,0.6,0.7
68.4705,82.7049,69.1822,76.79,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-10-05-00,2e-05,0.6,0.6,0.0,0.5,0.3,2.0,1.0,0.7,0.3
69.8608,83.7636,70.5559,78.08,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-10-11-14,2e-05,0.6,0.6,0.0,0.5,0.3,2.0,1.0,0.7,0.4
70.2001,84.0663,70.8935,78.41,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-10-17-37,2e-05,0.6,0.6,0.0,0.5,0.3,2.0,1.0,0.7,0.5
69.3364,83.7623,70.0577,77.99,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-10-23-29,2e-05,0.6,0.6,0.0,0.5,0.3,2.0,1.0,0.7,0.6
69.959,84.2484,70.6735,78.6,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-10-29-16,2e-05,0.6,0.6,0.0,0.5,0.3,2.0,1.0,0.7,0.7
68.7092,82.8057,69.414,76.95,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-10-34-59,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.3,0.3
69.3554,83.82600000000002,70.0789,78.05,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-10-40-45,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.3,0.4
69.1464,83.5864,69.8684,77.79,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-10-47-22,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.3,0.5
69.6762,83.815,70.3831,78.12,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-10-53-48,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.3,0.6
68.9673,82.9896,69.6684,77.14,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-10-59-27,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.3,0.7
68.8766,82.9233,69.5789,77.14,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-11-05-47,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.4,0.3
69.5819,83.0207,70.2539,77.31,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-11-14-38,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.4,0.4
70.4079,84.1419,71.0946,78.57,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-11-22-37,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.4,0.5
69.6671,83.9673,70.3821,78.28,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-11-29-15,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.4,0.6
70.0297,84.2206,70.7392,78.54,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-11-36-09,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.4,0.7
68.0382,82.2581,68.7492,76.3,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-11-42-05,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.5,0.3
69.81,83.7119,70.5051,78.02,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-23-11-49-17,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.5,0.4
