F1-known,F1-open,F1,Acc,dataset,method,backbone,known_cls_ratio,labeled_ratio,loss,seed,train_epochs,created_time,lr,safe1,safe2,alpha,alpha_loss,margin,p,loss_weight,supcon_loss_weight,triplet_loss_weight
79.9818,93.6117,80.3313,90.05,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-17-04-56,2e-05,0.6,0.6,0,0.5,0.5,2,1,0.4,0.7
79.6024,93.2522,79.9524,89.56,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-17-20-51,2e-05,0.6,0.6,0,0.5,0.5,2,1,0.5,0.3
79.572,93.3074,79.9241,89.63,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-17-34-52,2e-05,0.6,0.6,0,0.5,0.5,2,1,0.5,0.4
79.0256,93.0991,79.3865,89.32,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-17-49-07,2e-05,0.6,0.6,0,0.5,0.5,2,1,0.5,0.5
78.3991,92.8908,78.7707,89.04,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-18-03-05,2e-05,0.6,0.6,0,0.5,0.5,2,1,0.5,0.6
80.1735,93.6345,80.5187,90.12,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-18-23-18,2e-05,0.6,0.6,0,0.5,0.5,2,1,0.5,0.7
78.8709,93.0361,79.2341,89.23,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-18-39-05,2e-05,0.6,0.6,0,0.5,0.5,2,1,0.6,0.3
76.1046,91.9657,76.5113,87.68,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-18-50-12,2e-05,0.6,0.6,0,0.5,0.5,2,1,0.6,0.4
80.5193,93.7279,80.858,90.25,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-19-06-44,2e-05,0.6,0.6,0,0.5,0.5,2,1,0.6,0.5
80.4153,93.7514,80.7572,90.26,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-19-24-18,2e-05,0.6,0.6,0,0.5,0.5,2,1,0.6,0.6
80.0179,93.4842,80.3632,89.91,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-19-37-05,2e-05,0.6,0.6,0,0.5,0.5,2,1,0.6,0.7
78.5216,92.844,78.8888,88.98,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-19-54-04,2e-05,0.6,0.6,0,0.5,0.5,2,1,0.7,0.3
80.4001,93.5941,80.7384,90.09,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-20-13-11,2e-05,0.6,0.6,0,0.5,0.5,2,1,0.7,0.4
79.9461,93.5893,80.2959,90.04,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-20-30-54,2e-05,0.6,0.6,0,0.5,0.5,2,1,0.7,0.5
79.9721,93.6025,80.3216,90.04,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-20-50-39,2e-05,0.6,0.6,0,0.5,0.5,2,1,0.7,0.6
79.4882,93.4263,79.8456,89.79,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-21-04-41,2e-05,0.6,0.6,0,0.5,0.5,2,1,0.7,0.7
80.1012,93.83,80.4533,90.32,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-24-21-26-07,2e-05,0.6,0.6,0,0.5,0.3,2,1,0.3,0.3
81.8637,94.503,82.1878,91.39,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-24-21-43-02,2e-05,0.6,0.6,0,0.5,0.3,2,1,0.3,0.4
80.8512,93.9037,81.1858,90.49,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-24-21-57-17,2e-05,0.6,0.6,0,0.5,0.3,2,1,0.3,0.5
82.1844,94.3749,82.4969,91.23,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-24-22-14-00,2e-05,0.6,0.6,0,0.5,0.3,2,1,0.3,0.6
80.9314,94.0194,81.267,90.65,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-24-22-32-35,2e-05,0.6,0.6,0,0.5,0.3,2,1,0.3,0.7
80.9251,93.9117,81.2581,90.49,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-24-22-48-23,2e-05,0.6,0.6,0,0.5,0.3,2,1,0.4,0.3
81.0353,94.0828,81.3698,90.74,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-24-23-07-26,2e-05,0.6,0.6,0,0.5,0.3,2,1,0.4,0.4
80.9447,94.0385,81.2804,90.68,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-24-23-23-10,2e-05,0.6,0.6,0,0.5,0.3,2,1,0.4,0.5
81.6258,94.3478,81.95200000000001,91.12,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-24-23-46-44,2e-05,0.6,0.6,0,0.5,0.3,2,1,0.4,0.6
80.9081,94.1511,81.2476,90.84,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2,100,2024-09-25-00-01-15,2e-05,0.6,0.6,0,0.5,0.3,2,1,0.4,0.7
