F1-known,F1-open,F1,Acc,dataset,method,backbone,known_cls_ratio,labeled_ratio,loss,seed,train_epochs,created_time,lr,safe1,safe2,alpha,margin,p,loss_weight,supcon_loss_weight,triplet_loss_weight,neg_weight
77.004,87.78200000000002,77.5429,82.95,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-30-00-19-09,,,,,,,,,,
..,,,,,,,,,,,,,,,,,,,,,,
77.004,87.78200000000002,77.5429,82.95,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-30-00-27-40,,,,,0.9,,,,,
76.2604,87.5765,76.8263,82.63,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-30-00-30-36,,,,,1.0,,,,,
76.2604,87.5765,76.8263,82.63,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-30-00-34-20,,,,,1.0,,,,,
...,,,,,,,,,,,,,,,,,,,,,,
76.3748,86.8032,76.8963,81.82,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-30-00-43-18,2e-05,0.3,0.3,,0.3,,,0.7,0.7,0.3
20.9162,73.8595,23.5634,61.43,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,1.0,2024-10-04-23-34-59,2e-05,0.3,0.3,,0.3,,,0.7,0.7,0.0
21.6091,73.549,24.2061,61.1,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,1.0,2024-10-04-23-35-11,2e-05,0.3,0.3,,0.3,,,0.7,0.8,0.0
..
